ID,Case Name,Filing Year,Description,Case Categories,Principal Laws
22,"TransCanada Keystone Pipeline, LP v. Kerry",2016,"Challenge to Obama administration denial of presidential permit for Keystone XL Pipeline.
",Constitutional Claims>Other Constitutional Claims,"TransCanada Keystone Pipeline, LP v. Kerry"
29,Americans for Clean Energy v. EPA,2016,"Challenge to EPA's final renewable fuel standard rule for 2014, 2015, and 2016.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Americans for Clean Energy v. EPA
31,WildEarth Guardians v. Jewell,2015,Challenge to federal approval of mining plan for development of federally owned coal in Colorado.,Federal Statutory Claims>NEPA,WildEarth Guardians v. Jewell
38,Center for Biological Diversity v. Federal Highway Administration,2016,Challenge to approval of a highway project in Riverside County in California.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Center for Biological Diversity v. Federal Highway Administration
41,Idaho Conservation League v. U.S. Forest Service,2016,Challenge to approval of mine exploration project in Boise National Forest.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Idaho Conservation League v. U.S. Forest Service
51,Murray Energy Corp. v. Administrator of Environmental Protection Agency,2014,Action to compel EPA to undertake evaluation of Clean Air Act administration and enforcement on employment.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,Murray Energy Corp. v. Administrator of Environmental Protection Agency
57,California ex rel. South Coast Air Quality Management District v. Southern California Gas Co.,2016,Action against owner and operator of a leaking natural gas storage facility in California seeking civil penalties for creation of public nuisance.,State Law Claims>Enforcement Cases,California ex rel. South Coast Air Quality Management District v. Southern California Gas Co.
62,California v. Southern California Gas Co.,2015,"Action by city, county, and state against the owner and operator of a leaking natural gas storage facility in California seeking penalties and injunctive relief.",State Law Claims>Enforcement Cases,California v. Southern California Gas Co.
83,West Virginia v. EPA,2015,Challenge to EPA's final Clean Power Plan rule.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Clean Power Plan,West Virginia v. EPA
106,California Clean Energy Committee v. County of Placer,2011,Challenge to ski resort expansion project.,State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,California Clean Energy Committee v. County of Placer
114,Environmental Defense Center v. Bureau of Safety and Environmental Enforcement,2014,Challenge to approvals of applications for permits for offshore drilling.,Federal Statutory Claims>NEPA,Environmental Defense Center v. Bureau of Safety and Environmental Enforcement
120,Idaho Rivers United v. United States Army Corps of Engineers,2014,Challenge to approvals of dredging plans for lower Snake River.,Adaptation>Reverse Impact Assessment|Federal Statutory Claims>NEPA,Idaho Rivers United v. United States Army Corps of Engineers
124,Maryland Office of People’s Counsel v. Maryland Public Service Commission,2015,"Petition for review of Maryland Public Service Commission’s approval of a merger between utility and energy generating companies.
",State Law Claims>Utility Regulation,Maryland Office of People’s Counsel v. Maryland Public Service Commission
134,North Dakota v. EPA,2015,"Challenge to EPA's performance standards for greenhouse gas emissions from new, modified, and reconstructed power plants.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Clean Power Plan,North Dakota v. EPA
144,"WildEarth Guardians v. U.S. Office of Surface Mining, Reclamation and Enforcement",2013,"Challenge to agencies’ approval of mining plan amendment for expansion of surface coal mine in Montana.
",Federal Statutory Claims>NEPA,"WildEarth Guardians v. U.S. Office of Surface Mining, Reclamation and Enforcement"
150,Utility Air Regulatory Group v. EPA,2009,"Challenge to EPA endangerment finding and rules concerning regulation of greenhouse gas emissions from
stationary and mobile sources.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Endangerment Findings|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Tailoring Rule|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>PSD Program,Utility Air Regulatory Group v. EPA
153,Center for Biological Diversity v. Bureau of Ocean Energy Management,2015,,Federal Statutory Claims>NEPA,Center for Biological Diversity v. Bureau of Ocean Energy Management
154,Juliana v. United States,2015,"Action by young plaintiffs asserting that the federal government violated their constitutional rights by causing dangerous carbon dioxide concentrations. [Due to a technical issue, some recent documents are currently not available.]",Constitutional Claims>Fifth Amendment|Public Trust Claims,Juliana v. United States
159,Bitters v. Federal Highway Administration,2014,"Challenge to approval of reintroduction of vehicular traffic to area in downtown Fresno, California.",Federal Statutory Claims>NEPA,Bitters v. Federal Highway Administration
161,"Northwest Environmental Defense Center v. Cascade Kelly Holdings LLC, d/b/a Columbia Pacific Biorefinery",2014,Challenge to oil terminal operators’ failure to obtain PSD permit.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"Northwest Environmental Defense Center v. Cascade Kelly Holdings LLC, d/b/a Columbia Pacific Biorefinery"
169,Energy &amp; Environment Legal Institute v. Epel,2011,"Challenge to Colorado Renewable Energy Standard.
",Constitutional Claims>Commerce Clause,Energy &amp; Environment Legal Institute v. Epel
174,White Earth Nation v. Kerry,2014,Challenge to approvals of cross-border pipelines.,Federal Statutory Claims>NEPA,White Earth Nation v. Kerry
175,Environmental Integrity Project v. EPA,2015,Action to require EPA respond to 2011 petition to identify ammonia as a criteria pollutant.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Environmental Integrity Project v. EPA
178,California Building Industry Association v. Bay Area Air Quality Management District,2010,Challenge to greenhouse gas thresholds of significance for land use projects.,State Law Claims>Industry Lawsuits|State Law Claims>State Impact Assessment Laws,California Building Industry Association v. Bay Area Air Quality Management District
181,Blosser/Romain v. Rosenblum,2015,Challenge to ballot titles for initiatives to weaken Oregon low carbon fuel standards.,State Law Claims,Blosser/Romain v. Rosenblum
189,Maryland Office of People’s Counsel v. Maryland Public Service Commission,2013,Challenge to grid resiliency charge authorized by Maryland Public Service Commission.,State Law Claims>Utility Regulation,Maryland Office of People’s Counsel v. Maryland Public Service Commission
192,Energy &amp; Environment Legal Institute v. Arizona Board of Regents,2013,"Seeking disclosure of university records, including professors' emails, related to the climate change “hockey stick” and the Intergovernmental Panel on Climate Change.
",Climate Change Protesters and Scientists>Scientists,Energy &amp; Environment Legal Institute v. Arizona Board of Regents
315,Center for Biological Diversity v. U.S Fish &amp; Wildlife Service,2015,"Challenge to determination that listing of coastal marten as endangered or threatened was not warranted.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S Fish &amp; Wildlife Service
324,St. Bernard Parish Government v. United States,2005,Action by property owners in St. Bernard Parish and Lower Ninth Ward in New Orleans seeking compensation for temporary taking of property caused by flooding during and after Hurricane Katrina.,Adaptation>Actions seeking money damages for losses|Constitutional Claims>Fifth Amendment,St. Bernard Parish Government v. United States
327,"Judicial Watch, Inc. v. United States Department of Commerce",2015,Action to compel production of NOAA documents concerning climate data and related records in connection with congressional subpoena.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests|Climate Change Protesters and Scientists>Scientists,"Judicial Watch, Inc. v. United States Department of Commerce"
330,King &amp; Gardiner Farms LLC v. County of Kern,2015,"Challenge to county zoning ordinance amendments that would purportedly authorize development of thousands new oil and gas wells annually, as well as related construction and operational activities, without further site-specific assessment.",State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,King &amp; Gardiner Farms LLC v. County of Kern
